Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Twitter,https://www.crunchbase.com/organization/twitter,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as tweets.,http://www.twitter.com,2006-03-21,day,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications",5001-10000,TWTR,https://www.crunchbase.com/ipo/twitter-ipo--ca07c959,0,0,0,557452346,USD,557452346,177053500,USD,177053500,43447286,USD,43447286,67,Made Acquisitions,3.2,86,0%,2,,0%,11,"8,230,014,458","7,287,134,270.67",-0.44%,5,-1,-16.67%,"San Francisco Bay Area, West Coast, Western US",$1B to $10B,Active,2023-01-13,151520837,USD,151520837,15,IPO,2022-06-01,,,,Post-IPO Equity,12869191511,USD,12869191511
Microsoft,https://www.crunchbase.com/organization/microsoft,"Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States","Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",http://www.microsoft.com,1975-04-04,day,"Platforms, Software",10001+,MSFT,https://www.crunchbase.com/ipo/microsoft-ipo--72d30ebd,0,0.9,10,24214894608,USD,24214894608,7690938718,USD,7690938718,1887285004,USD,1887285004,254,Made Acquisitions,4.9,270,0%,,,0%,6,"977,788,301","995,612,279.33",-11.58%,64,11,20.75%,"Greater Seattle Area, West Coast, Western US",$10B+,Active,2023-01-18,6581837952,USD,6581837952,3,IPO,2022-11-30,5000000,USD,5000000,Private Equity,6000000,USD,6000000
Netflix,https://www.crunchbase.com/organization/netflix,"Digital Entertainment, Media and Entertainment, TV, Video Streaming","Los Gatos, California, United States",Netflix is an online streaming platform that enables users to watch TV shows and movies.,https://www.netflix.com,1997-01-01,day,"Content and Publishing, Media and Entertainment, Video",10001+,NFLX,https://www.crunchbase.com/ipo/netflix-ipo--0b074a76,0.8,2.1,-0.4,1002235362,USD,1002235362,166565768,USD,166565768,35185823,USD,35185823,9,Made Acquisitions,3.2,79,0%,83,"26,745,083",0%,91,"1,112,260,027","969,684,959",2.5%,56,2,3.7%,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,2022-06-23,263504223,USD,263504223,13,IPO,2018-05-05,2666198,USD,2666198,Post-IPO Debt,121907714724,USD,121907714724
ConsenSys,https://www.crunchbase.com/organization/consensus-systems,"Blockchain, Cryptocurrency, FinTech, Mobile, Software","Brooklyn, New York, United States",ConsenSys builds Ethereum blockchain infrastructure and applications ranging from developer tools to enterprise solutions.,http://www.consensys.net,2014-01-01,year,"Financial Services, Mobile, Other, Payments, Software",501-1000,,,-0.4,7.7,8.4,,,,,,,,,,7,Made Acquisitions,1.9,62,1.64%,,,0%,10,"332,662","427,382.67",-30.37%,"161,027","42,187",35.5%,"Greater New York Area, East Coast, Northeastern US",$50M to $100M,Active,2023-01-10,,,,8,Late Stage Venture,2022-10-18,1670000,USD,1670000,Secondary Market,726670000,USD,726670000
Amazon,https://www.crunchbase.com/organization/amazon,"Crowdsourcing, Delivery, E-Commerce, Retail","Seattle, Washington, United States","Amazon is an e-commerce website for consumers, sellers, and content creators.",http://amazon.com,1994-07-05,day,"Administrative Services, Commerce and Shopping, Other",10001+,AMZN,https://www.crunchbase.com/ipo/amazon-ipo--be4580aa,-1.1,9.9,9.8,6869471479,USD,6869471479,911144628,USD,911144628,209609974,USD,209609974,97,Made Acquisitions,4.7,133,0%,6,"1,286,151",0%,9,"2,893,800,679","3,625,444,765.17",-1.41%,20,1,5.26%,"Greater Seattle Area, West Coast, Western US",$10B+,Active,2023-01-10,3338683402,USD,3338683402,3,IPO,2023-01-03,8000000000,USD,8000000000,Post-IPO Debt,8108000000,USD,8108000000
Meta,https://www.crunchbase.com/organization/facebook,"Augmented Reality, Social Media, Social Network, Virtual Reality","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://meta.com,2004-02-04,day,"Hardware, Internet Services, Media and Entertainment, Software",10001+,META,https://www.crunchbase.com/ipo/facebook-ipo--8fd30bb3,-0.4,-1,-1,12894749914,USD,12894749914,4095526048,USD,4095526048,1005004092,USD,1005004092,101,Made Acquisitions,4.1,87,-1.14%,10,,0%,16,"10,927,166,501","12,095,554,603",-3.03%,3,0,0%,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,2023-01-12,3504915378,USD,3504915378,17,IPO,2022-08-04,10000000000,USD,10000000000,Post-IPO Debt,26122817488,USD,26122817488
Intel,https://www.crunchbase.com/organization/intel,"Artificial Intelligence, Computer, GPU, Hardware, Information Technology, Manufacturing, Product Design, Semiconductor, Software","Santa Clara, California, United States","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",http://www.intel.com/,1968-07-18,day,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",10001+,INTC,https://www.crunchbase.com/ipo/intel-ipo--fa31ceb7,3.1,2.6,-0.8,5883534744,USD,5883534744,1520618468,USD,1520618468,185498505,USD,185498505,109,Made Acquisitions,4.9,114,-1.72%,74,"1,470",0%,108,"37,879,847","38,973,676.67",-5.52%,"2,648",224,9.24%,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,2023-01-20,1827426128,USD,1827426128,2,IPO,2021-02-22,10000000,USD,10000000,Post-IPO Equity,12510000,USD,12510000
Gemini,https://www.crunchbase.com/organization/gemini-99b2,"Cryptocurrency, Finance, Financial Services, FinTech","New York, New York, United States",Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,https://gemini.com,2014-01-01,year,"Financial Services, Payments, Software",501-1000,,,-0.1,5.2,7.8,,,,,,,,,,6,Made Acquisitions,2.7,59,0%,,,,,"9,125,584","6,037,944.17",60.67%,"10,884","-5,206",-32.36%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2023-01-23,,,,4,,2022-02-17,,,,Venture - Series Unknown,423903059,USD,423903059
SoundHound,https://www.crunchbase.com/organization/soundhound,"Artificial Intelligence, Audio, Machine Learning, Mobile, Speech Recognition","Santa Clara, California, United States",SoundHound offers an independent voice AI platform that enables businesses to provide conversational experiences to their customers.,http://www.soundhound.com,2005-09-01,day,"Artificial Intelligence, Data and Analytics, Media and Entertainment, Mobile, Music and Audio, Science and Engineering, Software",251-500,SOUN,https://www.crunchbase.com/ipo/soundhound-ipo--a018920b,4.6,9.5,9.8,1886450,USD,1886450,313517,USD,313517,66228,USD,66228,,,2.7,47,0%,7,"481,911",0%,74,"598,316","374,919.83",115.79%,"103,943","-73,641",-41.47%,"San Francisco Bay Area, Silicon Valley, West Coast",$100M to $500M,Active,2023-01-05,495979,USD,495979,9,IPO,2023-01-24,25000000,USD,25000000,Post-IPO Equity,351000000,USD,351000000
Carvana,https://www.crunchbase.com/organization/carvana,"Automotive, Autonomous Vehicles, E-Commerce","Tempe, Arizona, United States",Carvana is an e-commerce platform for buying and selling used cars.,http://www.carvana.com,2013-01-01,year,"Commerce and Shopping, Transportation",10001+,CVNA,https://www.crunchbase.com/ipo/carvana-ipo--4ab27359,-0.6,-2.2,6.6,81341152,USD,81341152,10788830,USD,10788830,2481982,USD,2481982,3,Made Acquisitions,2.3,89,0%,1,"71,494",0%,81,"16,815,895","25,686,507.67",5.01%,"6,185",17,0.28%,"Greater Phoenix Area, Western US",$1B to $10B,Active,2022-11-18,39533227,USD,39533227,6,IPO,2022-02-24,3275000000,USD,3275000000,Post-IPO Debt,4835120000,USD,4835120000
