,date,total_laid_off
0,2020-03-11,75.0
1,2020-03-12,20.0
2,2020-03-13,14.0
3,2020-03-16,146.0
4,2020-03-18,4.0
5,2020-03-19,288.0
6,2020-03-20,877.0
7,2020-03-23,722.0
8,2020-03-24,717.0
9,2020-03-25,763.0
10,2020-03-26,668.0
11,2020-03-27,2603.0
12,2020-03-28,500.0
13,2020-03-29,427.0
14,2020-03-30,746.0
15,2020-03-31,1058.0
16,2020-04-01,875.0
17,2020-04-02,2110.0
18,2020-04-03,1764.0
19,2020-04-04,50.0
20,2020-04-05,40.0
21,2020-04-06,435.0
22,2020-04-07,2861.0
23,2020-04-08,1261.0
24,2020-04-09,1754.0
25,2020-04-10,341.0
26,2020-04-13,3037.0
27,2020-04-14,515.0
28,2020-04-15,1543.0
29,2020-04-16,255.0
30,2020-04-17,757.0
31,2020-04-20,665.0
32,2020-04-21,2143.0
33,2020-04-22,1065.0
34,2020-04-23,343.0
35,2020-04-24,165.0
36,2020-04-25,780.0
37,2020-04-27,280.0
38,2020-04-28,1820.0
39,2020-04-29,1670.0
40,2020-04-30,181.0
41,2020-05-01,566.0
42,2020-05-03,170.0
43,2020-05-04,1932.0
44,2020-05-05,3031.0
45,2020-05-06,4030.0
46,2020-05-07,1005.0
47,2020-05-08,9.0
48,2020-05-11,88.0
49,2020-05-12,1490.0
50,2020-05-13,781.0
51,2020-05-14,365.0
52,2020-05-15,1036.0
53,2020-05-17,250.0
54,2020-05-18,5802.0
55,2020-05-19,529.0
56,2020-05-20,2173.0
57,2020-05-21,488.0
58,2020-05-22,21.0
59,2020-05-25,200.0
60,2020-05-26,787.0
61,2020-05-27,212.0
62,2020-05-28,745.0
63,2020-05-29,94.0
64,2020-06-01,1774.0
65,2020-06-02,178.0
66,2020-06-03,252.0
67,2020-06-04,89.0
68,2020-06-05,64.0
69,2020-06-09,26.0
70,2020-06-10,10.0
71,2020-06-11,123.0
72,2020-06-12,288.0
73,2020-06-16,1974.0
74,2020-06-17,40.0
75,2020-06-18,15.0
76,2020-06-19,200.0
77,2020-06-22,715.0
78,2020-06-23,526.0
79,2020-06-24,625.0
80,2020-06-29,711.0
81,2020-06-30,17.0
82,2020-07-01,91.0
83,2020-07-08,85.0
84,2020-07-09,140.0
85,2020-07-10,140.0
86,2020-07-13,63.0
87,2020-07-14,300.0
88,2020-07-15,60.0
89,2020-07-17,120.0
90,2020-07-20,22.0
91,2020-07-21,960.0
92,2020-07-23,64.0
93,2020-07-27,425.0
94,2020-07-28,180.0
95,2020-07-30,4462.0
96,2020-08-05,56.0
97,2020-08-06,75.0
98,2020-08-07,150.0
99,2020-08-08,20.0
100,2020-08-11,250.0
101,2020-08-14,30.0
102,2020-08-19,8.0
103,2020-08-24,30.0
104,2020-08-26,1000.0
105,2020-08-31,350.0
106,2020-09-01,272.0
107,2020-09-09,30.0
108,2020-09-11,260.0
109,2020-09-29,47.0
110,2020-10-10,250.0
111,2020-10-14,90.0
112,2020-10-23,8.0
113,2020-10-29,102.0
114,2020-11-09,30.0
115,2020-11-17,172.0
116,2020-11-19,5.0
