,date,total_laid_off
0,2020-03-11,75.0
1,2020-03-12,20.0
2,2020-03-13,14.0
3,2020-03-16,146.0
4,2020-03-18,4.0
5,2020-03-19,168.0
6,2020-03-20,847.0
7,2020-03-23,722.0
8,2020-03-24,717.0
9,2020-03-25,685.0
10,2020-03-26,421.0
11,2020-03-27,1730.0
12,2020-03-28,250.0
13,2020-03-29,427.0
14,2020-03-30,566.0
15,2020-03-31,1058.0
16,2020-04-01,538.0
17,2020-04-02,1668.0
18,2020-04-03,1012.0
19,2020-04-05,40.0
20,2020-04-06,237.0
21,2020-04-07,2861.0
22,2020-04-08,935.0
23,2020-04-09,1560.0
24,2020-04-10,311.0
25,2020-04-13,2950.0
26,2020-04-14,374.0
27,2020-04-15,1229.0
28,2020-04-16,130.0
29,2020-04-17,198.0
30,2020-04-20,242.0
31,2020-04-21,795.0
32,2020-04-22,1065.0
33,2020-04-23,343.0
34,2020-04-24,110.0
35,2020-04-25,30.0
36,2020-04-27,280.0
37,2020-04-28,1062.0
38,2020-04-29,1670.0
39,2020-04-30,181.0
40,2020-05-01,286.0
41,2020-05-03,50.0
42,2020-05-05,3000.0
43,2020-05-06,4030.0
44,2020-05-07,943.0
45,2020-05-08,9.0
46,2020-05-11,28.0
47,2020-05-12,174.0
48,2020-05-13,711.0
49,2020-05-14,365.0
50,2020-05-15,16.0
51,2020-05-18,3102.0
52,2020-05-20,672.0
53,2020-05-21,418.0
54,2020-05-26,187.0
55,2020-05-27,150.0
56,2020-05-28,439.0
57,2020-05-29,94.0
58,2020-06-01,1424.0
59,2020-06-02,78.0
60,2020-06-03,132.0
61,2020-06-04,89.0
62,2020-06-05,64.0
63,2020-06-10,10.0
64,2020-06-11,3.0
65,2020-06-12,63.0
66,2020-06-16,114.0
67,2020-06-18,15.0
68,2020-06-22,715.0
69,2020-06-23,96.0
70,2020-06-24,625.0
71,2020-06-29,481.0
72,2020-06-30,17.0
73,2020-07-01,91.0
74,2020-07-08,85.0
75,2020-07-13,63.0
76,2020-07-15,60.0
77,2020-07-20,22.0
78,2020-07-21,960.0
79,2020-07-23,64.0
80,2020-07-28,180.0
81,2020-07-30,87.0
82,2020-08-05,56.0
83,2020-08-07,150.0
84,2020-08-11,250.0
85,2020-08-26,1000.0
86,2020-09-01,250.0
87,2020-09-09,30.0
88,2020-09-11,240.0
89,2020-09-29,47.0
90,2020-10-23,8.0
91,2020-10-29,102.0
92,2020-11-09,30.0
93,2020-11-17,172.0
94,2020-11-19,5.0
95,2020-12-16,54.0
96,2020-12-23,78.0
97,2021-01-13,315.0
98,2021-01-21,1877.0
99,2021-01-23,180.0
100,2021-02-04,13.0
101,2021-02-09,323.0
102,2021-03-09,47.0
103,2021-04-06,160.0
104,2021-04-26,36.0
105,2021-04-29,65.0
106,2021-06-01,2434.0
107,2021-08-24,37.0
108,2021-08-30,30.0
109,2021-09-14,41.0
110,2021-09-23,120.0
111,2021-10-05,22.0
112,2021-11-02,2000.0
113,2021-11-18,70.0
114,2021-12-01,900.0
115,2022-01-03,245.0
116,2022-01-20,330.0
