month,total_laid_off
2020-03-01,9628.0
2020-04-01,26710.0
2020-05-01,25804.0
2020-06-01,7627.0
2020-07-01,7112.0
2020-08-01,1969.0
2020-09-01,609.0
2020-10-01,450.0
2020-11-01,207.0
2020-12-01,852.0
2021-01-01,6013.0
2021-02-01,868.0
2021-03-01,47.0
2021-04-01,261.0
2021-06-01,2434.0
2021-07-01,80.0
2021-08-01,1867.0
2021-09-01,161.0
2021-10-01,22.0
2021-11-01,2070.0
2021-12-01,1200.0
2022-01-01,755.0
2022-02-01,3625.0
2022-03-01,5694.0
2022-04-01,4064.0
2022-05-01,12535.0
2022-06-01,17584.0
2022-07-01,16223.0
2022-08-01,13095.0
2022-09-01,5881.0
2022-10-01,12974.0
2022-11-01,51878.0
2022-12-01,9916.0
2023-01-01,23750.0
