,month,total_laid_off
0,2020-03-01,7850.0
1,2020-04-01,19821.0
2,2020-05-01,14674.0
3,2020-06-01,3926.0
4,2020-07-01,1612.0
5,2020-08-01,1456.0
6,2020-09-01,567.0
7,2020-10-01,110.0
8,2020-11-01,207.0
9,2020-12-01,132.0
10,2021-01-01,2372.0
11,2021-02-01,336.0
12,2021-03-01,47.0
13,2021-04-01,261.0
14,2021-06-01,2434.0
15,2021-08-01,67.0
16,2021-09-01,161.0
17,2021-10-01,22.0
18,2021-11-01,2070.0
19,2021-12-01,900.0
20,2022-01-01,755.0
21,2022-02-01,3225.0
22,2022-03-01,4105.0
23,2022-04-01,1958.0
24,2022-05-01,6267.0
25,2022-06-01,9451.0
26,2022-07-01,8821.0
27,2022-08-01,9770.0
28,2022-09-01,3396.0
29,2022-10-01,7014.0
30,2022-11-01,45327.0
31,2022-12-01,5435.0
32,2023-01-01,22208.0
